,0,1,2,3,4,5,6,7
260,G08,G10,G18,G21,G23,G27,G32,
261,G08,G10,G18,G21,G23,G27,G32,
262,G08,G10,G18,G23,G27,G32,,
263,G08,G10,G18,G23,G27,G32,,
264,G08,G10,G18,G23,G27,G32,,
265,G08,G10,G18,G23,G27,G32,,
266,G08,G10,G18,G23,G27,G32,,
267,G08,G10,G18,G21,G23,G27,G32,
268,G08,G10,G18,G21,G23,G27,G32,
269,G08,G10,G18,G21,G23,G27,G32,
270,G08,G10,G18,G21,G23,G27,G32,
271,G08,G10,G18,G21,G23,G27,G32,
272,G08,G10,G23,G27,G32,,,
273,G08,G10,G21,G23,G27,G32,,
274,G08,G10,G21,G23,G27,G32,,
275,G08,G10,G18,G21,G23,G27,G32,
276,G08,G10,G21,G23,G27,G32,,
277,G08,G10,G18,G21,G23,G27,G32,
278,G08,G10,G18,G21,G23,G27,G32,
279,G08,G10,G18,G21,G23,G27,G32,
280,G08,G10,G18,G21,G23,G24,G27,G32
281,G08,G10,G18,G21,G23,G24,G27,G32
282,G08,G10,G18,G21,G23,G27,G32,
283,G08,G10,G18,G21,G23,G27,G32,
284,G08,G10,G18,G21,G23,G27,G32,
285,G08,G10,G18,G21,G23,G27,G32,
286,G08,G10,G18,G21,G23,G27,G32,
287,G08,G10,G18,G21,G23,G27,G32,
288,G08,G10,G18,G21,G23,G27,G32,
289,G08,G10,G18,G21,G23,G27,G32,
290,G08,G10,G18,G21,G23,G27,G32,
291,G08,G10,G18,G21,G23,G27,G32,
292,G08,G10,G18,G21,G23,G27,G32,
293,G08,G10,G18,G21,G23,G27,G32,
294,G08,G10,G18,G21,G23,G27,G32,
295,G08,G10,G18,G21,G23,G27,G32,
296,G08,G10,G18,G21,G23,G27,G32,
297,G08,G10,G18,G21,G23,G27,G32,
298,G08,G10,G18,G21,G23,G27,G32,
299,G08,G10,G18,G21,G23,G27,G32,
300,G08,G10,G18,G21,G23,G27,G32,
301,G08,G10,G18,G21,G23,G27,G32,
302,G08,G10,G18,G21,G23,G27,G32,
303,G08,G10,G18,G21,G23,G27,G32,
304,G08,G10,G18,G21,G23,G27,G32,
305,G08,G10,G18,G21,G23,G27,G32,
306,G08,G10,G18,G21,G23,G27,G32,
307,G08,G10,G18,G21,G23,G27,G32,
308,G08,G10,G18,G21,G23,G27,G32,
309,G08,G10,G18,G21,G23,G27,G32,
310,G08,G10,G18,G21,G23,G27,G32,
311,G08,G10,G18,G21,G23,G27,G32,
312,G08,G10,G18,G21,G23,G27,G32,
